Magnitude,Depth_km,Distance_to_City_km,Population_Density,Risk_Label
7.651541063695006,10.756524687067778,88.53688286679376,1964.4100560045013,0
5.17020881875453,14.525448046853754,90.11340836151804,8162.8617426725905,0
4.517516096663818,7.218761244423984,84.0956719027605,4422.555787951629,0
5.938325429476643,15.983602578850904,5.89092993991851,5253.072428899112,0
5.996985719623779,1.2961870749519928,34.53871793224501,6607.0034665941885,0
5.426227136270308,17.71914415260693,43.33411381579848,4399.604596525884,0
5.27973899702911,16.192470261739572,69.40195352881217,3588.2834236471317,0
6.448903956062085,5.567051820447693,34.15179324515704,5691.091917815858,0
4.646401845740179,5.608872939424706,35.73802245092328,3794.456874733592,0
5.159046657131464,2.5252202345539176,43.019288759199625,4624.232376692848,0
4.9778501378866125,14.606893960603202,95.75669204139962,1529.8713341048278,0
6.593894597620588,8.347945936589014,46.52999542171527,8525.059082947588,0
5.785494203286344,7.981150499705969,18.36386119061853,4411.218640067398,0
4.435005902678729,4.385925186307048,5.603801634307752,1286.4480716131714,0
4.535493606737231,19.059869472177137,27.47820280605532,8005.225632968518,0
7.373415123612151,5.136195351750636,94.1870348987911,686.44045766619,0
6.58321774810704,10.120830693626182,95.72429088372628,6193.788905330925,0
6.341550281523479,11.079848548628473,55.25512881508584,7175.305717433572,0
5.512246940973342,8.006644085788473,66.40451775471459,2316.498871527254,0
7.008473240120409,6.995546421874564,80.61221093870805,1746.9645774799208,0
4.396595214021741,8.153692778132692,10.309324395112217,1581.8887613393026,0
6.25296751220449,12.826666663764977,40.55919341385945,9936.634906648074,0
5.056726493474437,8.264714224940636,66.01349373727213,7673.324836459012,0
5.25110668034477,18.127728436497645,90.33407579019652,3470.749468482982,0
6.225789264832387,6.114806570982022,74.04880830795159,3687.7979176958206,0
5.356442491318492,13.770533763351713,38.2558392518245,6661.935169050456,0
5.065300140538742,1.2180064408271978,91.44832024669088,4847.883606226371,0
5.004842351912075,6.115374825820056,68.13884758384111,3077.7313685914714,0
3.513654254488876,5.918539169603931,83.87235217974033,1042.4177623908106,0
6.263203619275656,4.480432334181698,41.62321647405973,7946.6096273894755,0
4.493369927201207,11.417362536278024,5.205089871234796,8938.145723321692,0
7.358409405659278,9.449064032039267,20.78601642938301,2456.613217765139,1
